Shape of X [N, C, H, W]: torch.Size([1024, 4])
Shape of y: torch.Size([1024, 4]) torch.float32
Using mps device
dSMSPredictorNN(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (linear_relu_stack): Sequential(
    (0): Linear(in_features=4, out_features=32, bias=True)
    (1): ReLU()
    (2): Linear(in_features=32, out_features=32, bias=True)
    (3): ReLU()
    (4): Linear(in_features=32, out_features=4, bias=True)
  )
)
Epoch 1
-------------------------------
loss: 0.016850  [2857984/5060099]
loss: 0.016534  [2868224/5060099]
loss: 0.016584  [2878464/5060099]
loss: 0.016259  [2888704/5060099]
loss: 0.017011  [2898944/5060099]
loss: 0.016266  [2909184/5060099]
loss: 0.016692  [2919424/5060099]
loss: 0.016592  [2929664/5060099]
loss: 0.016361  [2939904/5060099]
loss: 0.015799  [2950144/5060099]
loss: 0.016835  [2960384/5060099]
loss: 0.015922  [2970624/5060099]
loss: 0.016273  [2980864/5060099]
loss: 0.015963  [2991104/5060099]
loss: 0.015771  [3001344/5060099]
loss: 0.016746  [3011584/5060099]
loss: 0.016741  [3021824/5060099]
loss: 0.016159  [3032064/5060099]
loss: 0.017261  [3042304/5060099]
loss: 0.014948  [3052544/5060099]
loss: 0.015413  [3062784/5060099]
loss: 0.015856  [3073024/5060099]
loss: 0.015374  [3083264/5060099]
loss: 0.015840  [3093504/5060099]
loss: 0.015291  [3103744/5060099]
loss: 0.015458  [3113984/5060099]
loss: 0.014643  [3124224/5060099]
loss: 0.015767  [3134464/5060099]
loss: 0.015634  [3144704/5060099]
loss: 0.015120  [3154944/5060099]
loss: 0.015279  [3165184/5060099]
loss: 0.015790  [3175424/5060099]
loss: 0.015205  [3185664/5060099]
loss: 0.015375  [3195904/5060099]
loss: 0.014897  [3206144/5060099]
loss: 0.014988  [3216384/5060099]
loss: 0.015041  [3226624/5060099]
loss: 0.015223  [3236864/5060099]
loss: 0.014931  [3247104/5060099]
loss: 0.014329  [3257344/5060099]
loss: 0.015693  [3267584/5060099]
loss: 0.015180  [3277824/5060099]
loss: 0.014857  [3288064/5060099]
loss: 0.015379  [3298304/5060099]
loss: 0.014731  [3308544/5060099]
loss: 0.014680  [3318784/5060099]
loss: 0.013908  [3329024/5060099]
loss: 0.014827  [3339264/5060099]
loss: 0.014107  [3349504/5060099]
loss: 0.014283  [3359744/5060099]
loss: 0.014268  [3369984/5060099]
loss: 0.014943  [3380224/5060099]
loss: 0.014699  [3390464/5060099]
loss: 0.014274  [3400704/5060099]
loss: 0.014136  [3410944/5060099]
loss: 0.014288  [3421184/5060099]
loss: 0.013455  [3431424/5060099]
loss: 0.015063  [3441664/5060099]
loss: 0.014652  [3451904/5060099]
loss: 0.014373  [3462144/5060099]
loss: 0.013601  [3472384/5060099]
loss: 0.014345  [3482624/5060099]
loss: 0.014324  [3492864/5060099]
loss: 0.013651  [3503104/5060099]
loss: 0.013098  [3513344/5060099]
loss: 0.013887  [3523584/5060099]
loss: 0.013157  [3533824/5060099]
loss: 0.013527  [3544064/5060099]
loss: 0.013043  [3554304/5060099]
loss: 0.013764  [3564544/5060099]
loss: 0.012987  [3574784/5060099]
loss: 0.012857  [3585024/5060099]
loss: 0.013999  [3595264/5060099]
loss: 0.013614  [3605504/5060099]
loss: 0.013078  [3615744/5060099]
loss: 0.012931  [3625984/5060099]
loss: 0.013148  [3636224/5060099]
loss: 0.013176  [3646464/5060099]
loss: 0.013073  [3656704/5060099]
loss: 0.013182  [3666944/5060099]
loss: 0.013348  [3677184/5060099]
loss: 0.012761  [3687424/5060099]
loss: 0.013785  [3697664/5060099]
loss: 0.012611  [3707904/5060099]
loss: 0.012370  [3718144/5060099]
loss: 0.012588  [3728384/5060099]
loss: 0.012893  [3738624/5060099]
loss: 0.013058  [3748864/5060099]
loss: 0.012542  [3759104/5060099]
loss: 0.012583  [3769344/5060099]
loss: 0.012867  [3779584/5060099]
loss: 0.012432  [3789824/5060099]
loss: 0.012140  [3800064/5060099]
loss: 0.012500  [3810304/5060099]
loss: 0.012183  [3820544/5060099]
loss: 0.012692  [3830784/5060099]
loss: 0.011848  [3841024/5060099]
loss: 0.012490  [3851264/5060099]
loss: 0.012144  [3861504/5060099]
loss: 0.011587  [3871744/5060099]
loss: 0.012264  [3881984/5060099]
loss: 0.011901  [3892224/5060099]
loss: 0.012136  [3902464/5060099]
loss: 0.011416  [3912704/5060099]
loss: 0.012305  [3922944/5060099]
loss: 0.011820  [3933184/5060099]
loss: 0.012652  [3943424/5060099]
loss: 0.011333  [3953664/5060099]
loss: 0.011679  [3963904/5060099]
loss: 0.011462  [3974144/5060099]
loss: 0.011798  [3984384/5060099]
loss: 0.011606  [3994624/5060099]
loss: 0.011617  [4004864/5060099]
loss: 0.011309  [4015104/5060099]
loss: 0.011689  [4025344/5060099]
loss: 0.012501  [4035584/5060099]
loss: 0.011137  [4045824/5060099]
loss: 0.011361  [4056064/5060099]
loss: 0.011476  [4066304/5060099]
loss: 0.011336  [4076544/5060099]
loss: 0.010752  [4086784/5060099]
loss: 0.010765  [4097024/5060099]
loss: 0.011294  [4107264/5060099]
loss: 0.010633  [4117504/5060099]
loss: 0.011452  [4127744/5060099]
loss: 0.011112  [4137984/5060099]
loss: 0.011075  [4148224/5060099]
loss: 0.011509  [4158464/5060099]
loss: 0.011196  [4168704/5060099]
loss: 0.011154  [4178944/5060099]
loss: 0.010237  [4189184/5060099]
loss: 0.010823  [4199424/5060099]
loss: 0.010996  [4209664/5060099]
loss: 0.010434  [4219904/5060099]
loss: 0.011007  [4230144/5060099]
loss: 0.010411  [4240384/5060099]
loss: 0.010527  [4250624/5060099]
loss: 0.011033  [4260864/5060099]
loss: 0.010690  [4271104/5060099]
loss: 0.009674  [4281344/5060099]
loss: 0.009822  [4291584/5060099]
loss: 0.010763  [4301824/5060099]
loss: 0.010377  [4312064/5060099]
loss: 0.010121  [4322304/5060099]
loss: 0.010150  [4332544/5060099]
loss: 0.010250  [4342784/5060099]
loss: 0.010467  [4353024/5060099]
loss: 0.010571  [4363264/5060099]
loss: 0.010383  [4373504/5060099]
loss: 0.010668  [4383744/5060099]
loss: 0.010116  [4393984/5060099]
loss: 0.010343  [4404224/5060099]
loss: 0.010006  [4414464/5060099]
loss: 0.010252  [4424704/5060099]
loss: 0.009569  [4434944/5060099]
loss: 0.010521  [4445184/5060099]
loss: 0.009646  [4455424/5060099]
loss: 0.009621  [4465664/5060099]
loss: 0.009311  [4475904/5060099]
loss: 0.009583  [4486144/5060099]
loss: 0.010555  [4496384/5060099]
loss: 0.009884  [4506624/5060099]
loss: 0.009659  [4516864/5060099]
loss: 0.009527  [4527104/5060099]
loss: 0.009476  [4537344/5060099]
loss: 0.009576  [4547584/5060099]
loss: 0.009906  [4557824/5060099]
loss: 0.009441  [4568064/5060099]
loss: 0.009566  [4578304/5060099]
loss: 0.009358  [4588544/5060099]
loss: 0.008998  [4598784/5060099]
loss: 0.009190  [4609024/5060099]
loss: 0.009609  [4619264/5060099]
loss: 0.009553  [4629504/5060099]
loss: 0.008905  [4639744/5060099]
loss: 0.009610  [4649984/5060099]
loss: 0.009245  [4660224/5060099]
loss: 0.009458  [4670464/5060099]
loss: 0.009050  [4680704/5060099]
loss: 0.009025  [4690944/5060099]
loss: 0.009321  [4701184/5060099]
loss: 0.008902  [4711424/5060099]
loss: 0.009124  [4721664/5060099]
loss: 0.008741  [4731904/5060099]
loss: 0.008605  [4742144/5060099]
loss: 0.008899  [4752384/5060099]
loss: 0.009320  [4762624/5060099]
loss: 0.008390  [4772864/5060099]
loss: 0.008830  [4783104/5060099]
loss: 0.008618  [4793344/5060099]
loss: 0.008487  [4803584/5060099]
loss: 0.008307  [4813824/5060099]
loss: 0.008298  [4824064/5060099]
loss: 0.009239  [4834304/5060099]
loss: 0.008739  [4844544/5060099]
loss: 0.008619  [4854784/5060099]
loss: 0.008466  [4865024/5060099]
loss: 0.008590  [4875264/5060099]
loss: 0.008416  [4885504/5060099]
loss: 0.007972  [4895744/5060099]
loss: 0.008936  [4905984/5060099]
loss: 0.008425  [4916224/5060099]
loss: 0.008298  [4926464/5060099]
loss: 0.007954  [4936704/5060099]
loss: 0.008608  [4946944/5060099]
loss: 0.007914  [4957184/5060099]
loss: 0.008326  [4967424/5060099]
loss: 0.008038  [4977664/5060099]
loss: 0.008255  [4987904/5060099]
loss: 0.007886  [4998144/5060099]
loss: 0.008113  [5008384/5060099]
loss: 0.007774  [5018624/5060099]
loss: 0.007695  [5028864/5060099]
loss: 0.008143  [5039104/5060099]
loss: 0.007616  [5049344/5060099]
loss: 0.007632  [5059584/5060099]
Test Input: 
 [[ 0.         1.         0.         1.       ]
 [ 0.8664798  3.7320678  2.8454657 -2.8668346]]
Model Output: 
 [[ 0.07543971  0.15504721  0.12929401  0.13243204]
 [ 0.3780399   0.6165421   0.47160226 -0.11533579]]
Epoch 2
-------------------------------
loss: 0.007910  [ 1024/5060099]
loss: 0.007379  [11264/5060099]
loss: 0.007388  [21504/5060099]
loss: 0.008440  [31744/5060099]
loss: 0.007536  [41984/5060099]
loss: 0.007578  [52224/5060099]
loss: 0.007563  [62464/5060099]
loss: 0.007984  [72704/5060099]
loss: 0.007801  [82944/5060099]
loss: 0.007261  [93184/5060099]
loss: 0.007166  [103424/5060099]
loss: 0.007761  [113664/5060099]
loss: 0.007269  [123904/5060099]
loss: 0.007315  [134144/5060099]
loss: 0.007094  [144384/5060099]
loss: 0.007765  [154624/5060099]
loss: 0.007128  [164864/5060099]
loss: 0.007300  [175104/5060099]
loss: 0.006939  [185344/5060099]
loss: 0.007204  [195584/5060099]
loss: 0.006709  [205824/5060099]
loss: 0.007224  [216064/5060099]
loss: 0.007338  [226304/5060099]
loss: 0.006756  [236544/5060099]
loss: 0.007194  [246784/5060099]
loss: 0.006890  [257024/5060099]
loss: 0.006892  [267264/5060099]
loss: 0.007753  [277504/5060099]
loss: 0.007044  [287744/5060099]
loss: 0.006428  [297984/5060099]
loss: 0.006719  [308224/5060099]
loss: 0.006424  [318464/5060099]
loss: 0.006951  [328704/5060099]
loss: 0.006533  [338944/5060099]
loss: 0.006620  [349184/5060099]
loss: 0.006894  [359424/5060099]
loss: 0.006483  [369664/5060099]
loss: 0.006833  [379904/5060099]
loss: 0.006358  [390144/5060099]
loss: 0.006805  [400384/5060099]
loss: 0.006654  [410624/5060099]
loss: 0.006657  [420864/5060099]
loss: 0.006045  [431104/5060099]
loss: 0.006013  [441344/5060099]
loss: 0.006073  [451584/5060099]
loss: 0.005872  [461824/5060099]
loss: 0.005893  [472064/5060099]
loss: 0.005969  [482304/5060099]
loss: 0.006431  [492544/5060099]
loss: 0.005801  [502784/5060099]
loss: 0.006129  [513024/5060099]
loss: 0.005604  [523264/5060099]
loss: 0.006108  [533504/5060099]
loss: 0.006349  [543744/5060099]
loss: 0.005884  [553984/5060099]
loss: 0.005992  [564224/5060099]
loss: 0.006570  [574464/5060099]
loss: 0.006192  [584704/5060099]
loss: 0.005518  [594944/5060099]
loss: 0.006034  [605184/5060099]
loss: 0.005884  [615424/5060099]
loss: 0.007037  [625664/5060099]
loss: 0.006086  [635904/5060099]
loss: 0.005815  [646144/5060099]
loss: 0.005430  [656384/5060099]
loss: 0.006018  [666624/5060099]
loss: 0.006174  [676864/5060099]
loss: 0.006051  [687104/5060099]
loss: 0.005284  [697344/5060099]
loss: 0.005891  [707584/5060099]
loss: 0.005832  [717824/5060099]
loss: 0.005322  [728064/5060099]
loss: 0.005856  [738304/5060099]
loss: 0.006100  [748544/5060099]
loss: 0.005554  [758784/5060099]
loss: 0.005180  [769024/5060099]
loss: 0.005194  [779264/5060099]
loss: 0.005388  [789504/5060099]
loss: 0.005172  [799744/5060099]
loss: 0.005924  [809984/5060099]
loss: 0.005727  [820224/5060099]
loss: 0.005288  [830464/5060099]
loss: 0.005442  [840704/5060099]
loss: 0.004973  [850944/5060099]
loss: 0.006065  [861184/5060099]
loss: 0.005394  [871424/5060099]
loss: 0.005209  [881664/5060099]
loss: 0.005269  [891904/5060099]
